,Article ID,Unnamed: 0.1.1.1,Event Date,Event Type,Event-Type Precision,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
154,14,14,01-08-2020,Movements,,,,3,,14,,,,,,E,,,,,,,,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
158,14,14,01-08-2020,Departure by sea,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
159,14,14,01-08-2020,Departure by sea,,,,3,,14,,,,,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
160,14,14,01-08-2020,Departure by sea,,,,3,,14,,,,,,E,,,,,,,,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
161,14,14,01-08-2020,Rescued at sea,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
162,14,14,01-08-2020,Rescued at sea,,,,3,,14,,,,,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
163,14,14,01-08-2020,Rescued at sea,,,,3,,14,,,,,,E,,,,,,,,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
164,14,14,01-08-2020,Dying in sea,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
165,14,14,01-08-2020,Dying in sea,,,,3,,14,,,,,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
166,14,14,01-08-2020,Dying in sea,,,,3,,14,,,,,,E,,,,,,,,,E,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
167,15,15,01-08-2020,Social,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,,,
169,15,15,01-08-2020,NGOs actions,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,,,
170,16,16,17-08-2020,Movements,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
171,16,16,17-08-2020,Movements,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
172,16,16,17-08-2020,Movements,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
176,16,16,17-08-2020,Rescued at sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
177,16,16,17-08-2020,Rescued at sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
178,16,16,17-08-2020,Rescued at sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
179,16,16,17-08-2020,Dying in sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
180,16,16,17-08-2020,Dying in sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
181,16,16,17-08-2020,Dying in sea,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
185,16,16,17-08-2020,NGOs actions,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
186,16,16,17-08-2020,NGOs actions,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
187,16,16,17-08-2020,NGOs actions,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,E,,,,,,,,,E,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
188,17,17,24-03-2020,Health,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
189,17,17,24-03-2020,Health,infections,,,,,,,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
190,17,17,24-03-2020,Health,infections,,,,,,,,,,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
191,17,17,24-03-2020,Health,infections,,,,,,,,,,,E,LY-MB-Al Marqab => Khoms,32.0,38.0,59,N,14.0,15.0,52,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
200,17,17,24-03-2020,infections,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
201,17,17,24-03-2020,infections,infections,,,,,,,,,,,E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
202,17,17,24-03-2020,infections,infections,,,,,,,,,,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
